in_demand,state,amount_raised_usd,audio,art,podcasts_vlogs,launched,currency_HKD
False,0,4.631802925026171e-05,0,0,0,0.6905020985346004,False
False,1,0.0208164021518844,1,0,0,0.742983284076316,False
False,0,2.0686825333859217e-05,0,0,0,0.9876974310196688,False
False,0,0.0002883084201062,0,0,0,0.2643984987572283,False
False,0,6.643653520681711e-05,0,0,0,0.4877835991488721,False
False,0,5.677510579265208e-05,0,0,0,0.5256498967335164,False
False,0,5.166023139691766e-05,0,0,0,0.8775092045001776,False
False,0,5.677510579265208e-05,0,0,0,0.4679741105461481,False
False,0,0.0001011040172223,0,0,0,0.7474038140403056,False
False,0,5.05804245800404e-06,0,0,0,0.5630535912274217,False
False,0,0.0005522829248774,0,0,0,0.8978351880328992,False
False,0,0.0002115853041702,0,0,0,0.7342859708014942,False
False,0,4.256712136005647e-05,0,0,0,0.4973045505965716,False
False,0,0.0001690181828101,0,0,0,0.7337563418638018,False
True,0,8.126967095444693e-05,0,0,0,0.9687086801502254,False
False,0,0.0002157908675622,0,0,0,0.9502548297751812,False
False,0,0.0002481282401308,0,0,0,0.5271459973385664,False
False,0,0.0006312323323713,0,0,0,0.6257369600677691,False
False,0,0.0002752520436749,0,0,0,0.7631001697490785,False
False,0,1.276042342880139e-06,0,0,0,0.4852799780723051,False
False,0,7.899639344523162e-06,0,0,0,0.9769995449498152,False
False,0,0.0005463254174021,0,0,0,0.956138667113601,False
False,0,3.17690531912838e-05,0,0,0,0.5957293617827517,False
False,0,4.319227267509067e-05,0,0,0,0.7844477704469401,False
True,1,0.0017859377403684,0,0,0,0.9751274117921378,True
False,0,3.284886000816107e-05,0,0,0,0.5208806887363435,False
False,1,0.0016765657387807,0,0,0,0.9564061142653468,True
False,0,2.0118505956555392e-05,0,0,0,0.8606600339401584,False
False,0,2.26759431544226e-05,0,0,0,0.483497705919433,False
False,0,1.5856110626776706e-05,0,0,0,0.5804341520379728,False
True,1,0.0769414074088387,0,0,0,0.9542665370513764,False
False,0,5.910521523959777e-06,0,0,0,0.582684729106278,False
False,0,1.5287791249472882e-05,0,0,0,0.8210778554817004,False
False,0,3.006409505937233e-05,0,0,0,0.5391178635821294,False
False,0,4.057800353949309e-05,0,0,0,0.1096025420207924,False
False,0,1.1025395919694196e-05,0,0,0,0.2804486028514361,False
False,0,0.0001724280990739,0,0,0,0.5029492517977108,False
False,0,1.1821043047919552e-05,0,0,0,0.6797449623960947,False
False,0,3.997915596800178e-06,0,0,0,0.5329245614109706,False
False,0,2.72224981728532e-05,0,0,0,0.4861846675903374,False
